Country,Confirmed,Deaths,Recovered,Active,New Cases,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Population,Cases / Million People,Confirmed last week,1 week change,1 week % increase
Afghanistan,70761,2919,57450,10392,650,4.13,81.19,5.08,38928341,1818.0,65728,5033,7.66
Albania,132309,2450,129308,551,12,1.85,97.73,1.89,2877800,45976.0,132209,100,0.08
Algeria,128725,3465,89625,35635,269,2.69,69.63,3.87,43851043,2936.0,126860,1865,1.47
Andorra,13693,127,13416,150,0,0.93,97.98,0.95,77265,177221.0,13569,124,0.91
Angola,34366,764,27766,5836,186,2.22,80.79,2.75,32866268,1046.0,32441,1925,5.93
Antigua and Barbuda,1259,42,1206,11,0,3.34,95.79,3.48,97928,12856.0,1257,2,0.16
Argentina,3753609,77456,3319068,357085,21346,2.06,88.42,2.33,45195777,83052.0,3539484,214125,6.05
Armenia,222636,4432,212981,5223,81,1.99,95.66,2.08,2963234,75133.0,221948,688,0.31
Australia,30105,910,23581,5614,9,3.02,78.33,3.86,50919400,591.0,30019,86,0.29
Austria,644586,10596,628312,5678,379,1.64,97.48,1.69,9006400,71570.0,641380,3206,0.5
Azerbaijan,333864,4907,324103,4854,141,1.47,97.08,1.51,10139175,32928.0,332454,1410,0.42
Bahamas,11745,229,10642,874,0,1.95,90.61,2.15,393248,29867.0,11396,349,3.06
Bahrain,238156,953,208445,28758,2458,0.4,87.52,0.46,1701583,139961.0,218047,20109,9.22
Bangladesh,798830,12583,738805,47442,1444,1.58,92.49,1.7,164689383,4851.0,789080,9750,1.24
Barbados,4017,47,3922,48,5,1.17,97.64,1.2,287371,13978.0,3995,22,0.55
Belarus,393807,2841,384933,6033,1178,0.72,97.75,0.74,9449321,41676.0,386025,7782,2.02
Belgium,1061200,24940,0,1036260,1437,2.35,0.0,8.088412698412698,23021022,46097.0,1048881,12319,1.17
Belize,12791,324,12378,89,0,2.53,96.77,2.62,397621,32169.0,12764,27,0.21
Benin,8058,101,7893,64,0,1.25,97.95,1.28,12123198,665.0,8025,33,0.41
Bhutan,1612,1,1275,336,9,0.06,79.09,0.08,771612,2089.0,1394,218,15.64
Bolivia,368474,14471,292713,61290,1760,3.93,79.44,4.94,11673029,31566.0,349653,18821,5.38
Bosnia and Herzegovina,203839,9211,174236,20392,0,4.52,85.48,5.29,3280815,62131.0,203150,689,0.34
Botswana,53771,831,50494,2446,0,1.55,93.91,1.65,2351625,22865.0,51620,2151,4.17
Brazil,16515120,461931,14540507,1512682,43520,2.8,88.04,3.18,422706534,39070.0,16083258,431862,2.69
Brunei,241,3,228,10,0,1.24,94.61,1.32,437483,551.0,235,6,2.55
Bulgaria,418274,17662,380537,20075,53,4.22,90.98,4.64,6948445,60197.0,416646,1628,0.39
